mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__gamma,param_model__kernel,param_model__nu,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0058609962463378905,0.003363027214691929,0.005418157577514649,0.0006798893056966435,scale,rbf,0.01,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.01, 'scaler': StandardScaler()}",0.5426675094816688,0.48451327433628316,0.6096713021491782,0.6417797888386123,0.5514285714285714,0.5660120892468627,0.05485722632593477,34
0.006876659393310547,0.0014018665393763338,0.003992891311645508,0.0010612343279645122,scale,rbf,0.01,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.01, 'scaler': RobustScaler()}",0.5426675094816688,0.48008849557522126,0.6833122629582807,0.6417797888386123,0.5514285714285714,0.5798553256564709,0.07305123055570277,25
0.0039956092834472655,0.0009130873600816737,0.003925514221191406,0.0007949397928631791,scale,rbf,0.01,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.01, 'scaler': 'passthrough'}",0.5426675094816688,0.48451327433628316,0.6096713021491782,0.6417797888386123,0.5514285714285714,0.5660120892468627,0.05485722632593477,34
0.007924652099609375,0.00200820479867325,0.0050623416900634766,0.0010853896501861098,scale,rbf,0.05,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.05, 'scaler': StandardScaler()}",0.6030341340075853,0.5448798988621998,0.6678255372945638,0.681184012066365,0.5447619047619048,0.6083370973985238,0.05821046305171571,11
0.00879206657409668,0.0034048403558677226,0.004758358001708984,0.0014066923349776573,scale,rbf,0.05,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.05, 'scaler': RobustScaler()}",0.5293931731984829,0.5404551201011378,0.6656131479140328,0.681184012066365,0.5492063492063491,0.5931703604972736,0.06599033382214571,22
0.007465171813964844,0.0025948600401958823,0.005105400085449218,0.0014180183025813945,scale,rbf,0.05,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.05, 'scaler': 'passthrough'}",0.6030341340075853,0.5426675094816688,0.6678255372945638,0.681184012066365,0.5447619047619048,0.6078946195224175,0.058697512453617144,13
0.008163022994995116,0.0013339593041688566,0.005848407745361328,0.0015463888222330894,scale,rbf,0.1,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.1, 'scaler': StandardScaler()}",0.6434892541087232,0.527180783817952,0.6479140328697851,0.6676093514328809,0.660952380952381,0.6294291606363445,0.05185662480394947,5
0.011804294586181641,0.002701966355704376,0.007033205032348633,0.0018182694067775003,scale,rbf,0.1,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.1, 'scaler': RobustScaler()}",0.6501264222503161,0.5338179519595448,0.6368520859671302,0.6653469079939669,0.660952380952381,0.6294191498246677,0.048803231812411245,7
0.009247493743896485,0.0016921913628978721,0.005641508102416992,0.0015830035668997675,scale,rbf,0.1,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.1, 'scaler': 'passthrough'}",0.6434892541087232,0.527180783817952,0.6479140328697851,0.6676093514328809,0.5895238095238095,0.6151434463506302,0.05103697315739629,8
0.0042363166809082035,0.0005705169905028271,0.0030397891998291014,0.0011631951836795725,scale,sigmoid,0.01,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.01, 'scaler': StandardScaler()}",0.48672566371681414,0.49557522123893805,0.49557522123893805,0.49095022624434387,0.49333333333333335,0.4924319331544734,0.003326560040312315,64
0.006307029724121093,0.0010630840951903417,0.002091836929321289,8.218844159522844e-05,scale,sigmoid,0.01,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.01, 'scaler': RobustScaler()}",0.497787610619469,0.497787610619469,0.5692161820480405,0.49547511312217196,0.5,0.5120533032818301,0.028617243725026744,51
0.0026233673095703127,0.0006452068663341551,0.0025493621826171873,0.0010428071004999315,scale,sigmoid,0.01,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.01, 'scaler': 'passthrough'}",0.4911504424778761,0.5,0.49336283185840707,0.497737556561086,0.49777777777777776,0.49600572173502944,0.003245066930166339,59
0.00693354606628418,0.0013342341200449305,0.003186321258544922,0.0009223414029344821,scale,sigmoid,0.05,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.05, 'scaler': StandardScaler()}",0.47345132743362833,0.4778761061946903,0.4646017699115044,0.47737556561085975,0.4822222222222222,0.475105398274581,0.0059420842193879985,73
0.009232187271118164,0.0022445825908805153,0.0036400318145751952,0.002324872554217803,scale,sigmoid,0.05,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.05, 'scaler': RobustScaler()}",0.4690265486725664,0.4823008849557522,0.4756637168141593,0.47737556561085975,0.4711111111111111,0.4750955654328898,0.004693541667217857,75
0.007207918167114258,0.0023833393807026703,0.003610849380493164,0.0013096150208264097,scale,sigmoid,0.05,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.05, 'scaler': 'passthrough'}",0.47123893805309736,0.48008849557522126,0.47123893805309736,0.47737556561085975,0.48,0.4759883874584552,0.003998567850800254,71
