mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__gamma,param_model__kernel,param_model__nu,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07030019760131836,0.0020384783081143195,0.015470123291015625,0.0008043940215644571,scale,rbf,0.01,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.01, 'scaler': StandardScaler()}",0.5996491228070175,0.6449579831932774,0.6723097552799195,0.5975738396624473,0.7257894736842105,0.6480560349253744,0.048025013391447546,24
0.0744241714477539,0.021454807779929346,0.011737298965454102,0.004138716742403671,scale,rbf,0.01,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.01, 'scaler': RobustScaler()}",0.5487719298245615,0.6691176470588236,0.5377695831936529,0.5572257383966245,0.6648872180451129,0.5955544233037551,0.05867769907771861,29
0.05114216804504394,0.005913210936633608,0.013099050521850586,0.0007579079897267382,scale,rbf,0.01,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.01, 'scaler': 'passthrough'}",0.503859649122807,0.6176470588235293,0.5314001564420605,0.6070675105485231,0.5524812030075187,0.5624911155888876,0.0436662982452598,34
0.09116315841674805,0.00961381526382286,0.013543510437011718,0.0001897253860208985,scale,rbf,0.05,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.05, 'scaler': StandardScaler()}",0.6975438596491228,0.7510504201680672,0.7448876969493798,0.6892141350210971,0.721578947368421,0.7208550118312177,0.024634981723759636,14
0.11401557922363281,0.00411021829311783,0.013013792037963868,0.0052277576980563,scale,rbf,0.05,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.05, 'scaler': RobustScaler()}",0.6403508771929824,0.6628151260504201,0.6082243826125824,0.5986286919831223,0.7236842105263158,0.6467406576730846,0.0447611278699816,26
0.07453036308288574,0.014636535851906596,0.012007761001586913,0.000993777034115521,scale,rbf,0.05,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.05, 'scaler': 'passthrough'}",0.5673684210526316,0.6764705882352942,0.6776176109062465,0.6664029535864979,0.7593984962406015,0.6694516140042543,0.061051885707551545,23
0.136677885055542,0.018923180791579182,0.020465803146362305,0.000553646862524805,scale,rbf,0.1,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.1, 'scaler': StandardScaler()}",0.775438596491228,0.8403361344537815,0.8857972957872389,0.8619462025316456,0.8433834586466165,0.8413803375821022,0.036740269595058474,6
0.17497315406799316,0.002621837337340289,0.017882537841796876,0.0011908837136769444,scale,rbf,0.1,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.1, 'scaler': RobustScaler()}",0.6849122807017545,0.6785714285714286,0.6922561180020114,0.6972573839662447,0.8139849624060151,0.7133964347294908,0.0506943033004549,16
0.12133603096008301,0.023726375040063127,0.01736459732055664,0.0003491836737997982,scale,rbf,0.1,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__nu': 0.1, 'scaler': 'passthrough'}",0.707719298245614,0.8413865546218486,0.8238350653704325,0.7401107594936709,0.7793233082706766,0.7784749972004487,0.04998860498684256,11
0.031920671463012695,0.007731281883066988,0.004742240905761719,0.0006913437084237744,scale,sigmoid,0.01,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.01, 'scaler': StandardScaler()}",0.4978947368421053,0.5346638655462185,0.5747010839199911,0.4947257383966245,0.5304511278195488,0.5264873105048976,0.02909800191910397,42
0.07236552238464355,0.006377294279913886,0.004409027099609375,0.0005154229299182873,scale,sigmoid,0.01,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.01, 'scaler': RobustScaler()}",0.4936842105263158,0.49054621848739494,0.49256900212314225,0.5175369198312236,0.5272932330827067,0.5043259168101567,0.01512203199997658,48
0.020556116104125978,0.005514212209682586,0.00396575927734375,0.0008624323352368799,scale,sigmoid,0.01,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.01, 'scaler': 'passthrough'}",0.49473684210526314,0.49264705882352944,0.4893842887473461,0.4957805907172996,0.49473684210526314,0.4934571244997403,0.0022767541382268325,59
0.07624397277832032,0.004588162387453991,0.006670141220092773,0.0005131198685929927,scale,sigmoid,0.05,StandardScaler(),"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.05, 'scaler': StandardScaler()}",0.6435087719298245,0.6628151260504201,0.5904011621410213,0.6997626582278481,0.763609022556391,0.6720193481811011,0.0578229343084652,21
0.11571946144104003,0.008497563959013158,0.007037687301635742,0.000621100147174961,scale,sigmoid,0.05,RobustScaler(),"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.05, 'scaler': RobustScaler()}",0.5112280701754386,0.47478991596638653,0.5534696614146832,0.5297995780590717,0.6816541353383458,0.5501882721907851,0.07058689538318903,38
0.061455726623535156,0.00594103163991781,0.0057045936584472655,0.00034185098721045145,scale,sigmoid,0.05,passthrough,"{'model__gamma': 'scale', 'model__kernel': 'sigmoid', 'model__nu': 0.05, 'scaler': 'passthrough'}",0.46421052631578946,0.4695378151260504,0.4734607218683652,0.48523206751054854,0.4789473684210526,0.4742776998483612,0.007297751963346851,64
