Dataset,Model,CV_ROC_AUC,Test_ROC_AUC,Test_PR_AUC,Test_F1_out,Test_Recall_out,Test_Balanced_Acc,Test_MCC,Best_Scaler,Best_Kernel,Best_Gamma,Best_Nu
cardio,OneClassSVM,0.7312627689141632,0.9010327022375215,0.41820463825319026,0.38961038961038963,0.42857142857142855,0.6736230636833046,0.32038645665223353,StandardScaler(),rbf,0.01,0.1
musk,OneClassSVM,0.9440479105742027,1.0,1.0,0.4691358024691358,1.0,0.9638047138047139,0.5331673332408383,StandardScaler(),sigmoid,1.0,0.1
vowels,OneClassSVM,0.7187441535270791,0.8134751773049645,0.34109983588712833,0.11392405063291139,0.9,0.7035460992907802,0.14808300886220505,RobustScaler(),rbf,1.0,0.05
