mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__contamination,param_model__max_samples,param_model__n_estimators,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21688036918640136,0.1325240885513701,0.012476730346679687,0.010289668013098302,0.01,0.5,50,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': StandardScaler()}",0.5967741935483871,0.52,0.5814745972738538,0.5153474399164054,0.5254807692307693,0.5478153999938831,0.03422456915019254,49
0.1437910556793213,0.058156373472810954,0.006651115417480469,0.0017288225881305524,0.01,0.5,50,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': RobustScaler()}",0.5967741935483871,0.52,0.5814745972738538,0.5153474399164054,0.5254807692307693,0.5478153999938831,0.03422456915019254,49
0.18313922882080078,0.0690279400370456,0.005889797210693359,0.0007332722159508777,0.01,0.5,50,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': 'passthrough'}",0.5967741935483871,0.52,0.5814745972738538,0.5153474399164054,0.5254807692307693,0.5478153999938831,0.03422456915019254,49
0.27720890045166013,0.09562544034473736,0.009515714645385743,0.0004880769775439226,0.01,0.5,100,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': StandardScaler()}",0.5806451612903226,0.54,0.6041666666666666,0.5172413793103449,0.53125,0.5546606414534667,0.03252456156195651,40
0.3694258213043213,0.06396362518161085,0.01301264762878418,0.005101611827912755,0.01,0.5,100,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': RobustScaler()}",0.5806451612903226,0.54,0.6041666666666666,0.5172413793103449,0.53125,0.5546606414534667,0.03252456156195651,40
0.24833245277404786,0.04558643357254087,0.010377597808837891,0.0013889744097615442,0.01,0.5,100,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': 'passthrough'}",0.5806451612903226,0.54,0.6041666666666666,0.5172413793103449,0.53125,0.5546606414534667,0.03252456156195651,40
0.7082711219787597,0.078909514627128,0.02306227684020996,0.0067275154961111494,0.01,0.5,200,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': StandardScaler()}",0.5806451612903226,0.54,0.6041666666666666,0.5325888192267502,0.53125,0.5577301294367478,0.029424788524854566,37
0.5062667846679687,0.04599073238714728,0.026337194442749023,0.010826127063510223,0.01,0.5,200,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': RobustScaler()}",0.5806451612903226,0.54,0.6041666666666666,0.5325888192267502,0.53125,0.5577301294367478,0.029424788524854566,37
0.4868612766265869,0.06092897872725708,0.019937992095947266,0.0017232672772245258,0.01,0.5,200,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': 'passthrough'}",0.5806451612903226,0.54,0.6041666666666666,0.5325888192267502,0.53125,0.5577301294367478,0.029424788524854566,37
0.11691088676452636,0.009042336008949898,0.006738853454589844,0.0014174018046513507,0.01,auto,50,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': StandardScaler()}",0.5967741935483871,0.54,0.5833333333333334,0.5172413793103449,0.53125,0.553719781238413,0.030836478918299166,43
0.10357546806335449,0.006780876848762847,0.006058359146118164,0.0004951367070265343,0.01,auto,50,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': RobustScaler()}",0.5967741935483871,0.54,0.5833333333333334,0.5172413793103449,0.53125,0.553719781238413,0.030836478918299166,43
0.09338202476501464,0.00282073355498739,0.005974578857421875,0.0006510922056409194,0.01,auto,50,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': 'passthrough'}",0.5967741935483871,0.54,0.5833333333333334,0.5172413793103449,0.53125,0.553719781238413,0.030836478918299166,43
0.21265749931335448,0.02378719408793479,0.011402177810668945,0.0018102064815183332,0.01,auto,100,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': StandardScaler()}",0.5806451612903226,0.54,0.5625,0.5172413793103449,0.53125,0.5463273081201334,0.022594788389256503,52
0.20970492362976073,0.0059237431021268265,0.009356832504272461,0.0005264552945625791,0.01,auto,100,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': RobustScaler()}",0.5806451612903226,0.54,0.5625,0.5172413793103449,0.53125,0.5463273081201334,0.022594788389256503,52
0.19842948913574218,0.010836797891174166,0.010428380966186524,0.0012821767740272322,0.01,auto,100,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': 'passthrough'}",0.5806451612903226,0.54,0.5625,0.5172413793103449,0.53125,0.5463273081201334,0.022594788389256503,52
0.39685721397399903,0.007807649751722913,0.015372562408447265,0.0005832993133360859,0.01,auto,200,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 200, 'scaler': StandardScaler()}",0.5806451612903226,0.54,0.5625,0.5325888192267502,0.53125,0.5493967961034145,0.019226379543348212,46
