Dataset,Model,CV_ROC_AUC,Test_ROC_AUC,Test_PR_AUC,Test_F1_out,Test_Recall_out,Test_Balanced_Acc,Test_MCC,Best_Scaler,Best_Contamination
cardio,IsolationForest,0.7683585571499842,0.9229776247848538,0.523490018792692,0.5,0.5428571428571428,0.7382960413080895,0.44437453025902574,StandardScaler(),0.1
musk,IsolationForest,0.9896703459209082,1.0,0.9999999999999998,0.7755102040816326,1.0,0.9907407407407407,0.7884192655380796,StandardScaler(),0.05
vowels,IsolationForest,0.6075106327532147,0.7748226950354611,0.18718627176533797,0.2127659574468085,0.5,0.6932624113475176,0.21131532376029488,StandardScaler(),0.1
