mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__contamination,param_model__max_samples,param_model__n_estimators,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.18468103408813477,0.0052497546970018336,0.018199062347412108,0.012203946761010843,0.01,0.5,50,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': StandardScaler()}",0.6333333333333333,0.75,0.7894736842105263,0.59375,0.7142857142857143,0.6961685463659147,0.0726219368490703,37
0.24585342407226562,0.03314672021701025,0.010947179794311524,0.0023591475026503786,0.01,0.5,50,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': RobustScaler()}",0.6333333333333333,0.75,0.7894736842105263,0.59375,0.7142857142857143,0.6961685463659147,0.0726219368490703,37
0.41885743141174314,0.4268079544566268,0.008793306350708009,0.0013257909328554215,0.01,0.5,50,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': 'passthrough'}",0.6333333333333333,0.75,0.7894736842105263,0.59375,0.7142857142857143,0.6961685463659147,0.0726219368490703,37
0.9460654735565186,0.322512119282649,0.013531970977783202,0.0009249347837275671,0.01,0.5,100,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': StandardScaler()}",0.6333333333333333,0.7142857142857143,0.7894736842105263,0.59375,0.75,0.6961685463659147,0.0726219368490703,37
0.430240535736084,0.019668099306989432,0.020647573471069335,0.013317274548049164,0.01,0.5,100,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': RobustScaler()}",0.6333333333333333,0.7142857142857143,0.7894736842105263,0.59375,0.75,0.6961685463659147,0.0726219368490703,37
0.3263402462005615,0.012735976726722751,0.020776700973510743,0.01207116395086203,0.01,0.5,100,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': 'passthrough'}",0.6333333333333333,0.7142857142857143,0.7894736842105263,0.59375,0.75,0.6961685463659147,0.0726219368490703,37
0.6411685943603516,0.07256568973185391,0.024139976501464842,0.0014249324136376624,0.01,0.5,200,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': StandardScaler()}",0.5666666666666667,0.7142857142857143,0.7894736842105263,0.59375,0.75,0.6828352130325814,0.08752521067492672,43
0.6432319641113281,0.08513622216994345,0.0360323429107666,0.012692900026747686,0.01,0.5,200,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': RobustScaler()}",0.5666666666666667,0.7142857142857143,0.7894736842105263,0.59375,0.75,0.6828352130325814,0.08752521067492672,43
0.6053359985351563,0.10585343285054015,0.024004602432250978,0.005033567843345764,0.01,0.5,200,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': 'passthrough'}",0.5666666666666667,0.7142857142857143,0.7894736842105263,0.59375,0.75,0.6828352130325814,0.08752521067492672,43
0.1388331890106201,0.03081492372302721,0.007881975173950196,0.0005839501837893207,0.01,auto,50,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': StandardScaler()}",0.6333333333333333,0.5,0.6578947368421053,0.625,0.75,0.6332456140350877,0.08007690978337965,52
