mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__contamination,param_model__max_samples,param_model__n_estimators,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15924253463745117,0.027997088634685474,0.008971834182739257,0.003216608934871725,0.01,0.5,50,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': StandardScaler()}",0.5625790139064475,0.497787610619469,0.6406447534766118,0.5416666666666666,0.4955555555555556,0.5476467200449501,0.05311645483481168,34
0.14304180145263673,0.020114016269608063,0.00922093391418457,0.002962141118214639,0.01,0.5,50,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': RobustScaler()}",0.5625790139064475,0.497787610619469,0.6406447534766118,0.5416666666666666,0.4955555555555556,0.5476467200449501,0.05311645483481168,34
0.16035113334655762,0.0392359621758294,0.0074765682220458984,0.0016815305851010107,0.01,0.5,50,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': 'passthrough'}",0.5625790139064475,0.497787610619469,0.6406447534766118,0.5416666666666666,0.4955555555555556,0.5476467200449501,0.05311645483481168,34
0.30264840126037595,0.055114702049827345,0.011318826675415039,0.0017708537457407207,0.01,0.5,100,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': StandardScaler()}",0.5603666245259165,0.497787610619469,0.5647914032869785,0.5,0.4955555555555556,0.523700238797584,0.03180627753896139,40
0.24643297195434571,0.029970279440809804,0.01343531608581543,0.00713581822094645,0.01,0.5,100,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': RobustScaler()}",0.5603666245259165,0.497787610619469,0.5647914032869785,0.5,0.4955555555555556,0.523700238797584,0.03180627753896139,40
0.25330524444580077,0.0539399786051725,0.009501457214355469,0.0007345376864463038,0.01,0.5,100,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 100, 'scaler': 'passthrough'}",0.5603666245259165,0.497787610619469,0.5647914032869785,0.5,0.4955555555555556,0.523700238797584,0.03180627753896139,40
0.5714886665344239,0.08576220040200963,0.019524097442626953,0.003548902817917464,0.01,0.5,200,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': StandardScaler()}",0.5603666245259165,0.5,0.5625790139064475,0.497737556561086,0.4955555555555556,0.5232477501098012,0.031250102876795714,43
0.5138989448547363,0.05078537154107682,0.022812032699584962,0.004309315658133507,0.01,0.5,200,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': RobustScaler()}",0.5603666245259165,0.5,0.5625790139064475,0.497737556561086,0.4955555555555556,0.5232477501098012,0.031250102876795714,43
0.6206792831420899,0.11116468153141167,0.02493429183959961,0.0037447091516863507,0.01,0.5,200,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 0.5, 'model__n_estimators': 200, 'scaler': 'passthrough'}",0.5603666245259165,0.5,0.5625790139064475,0.497737556561086,0.4955555555555556,0.5232477501098012,0.031250102876795714,43
0.10474343299865722,0.005469303308585666,0.0071885108947753905,0.0009329410382414769,0.01,auto,50,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': StandardScaler()}",0.4911504424778761,0.5,0.49557522123893805,0.497737556561086,0.4955555555555556,0.4960037551666912,0.0029296828605507442,52
0.1600217342376709,0.046157933583187906,0.007617425918579101,0.0024184555061037873,0.01,auto,50,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': RobustScaler()}",0.4911504424778761,0.5,0.49557522123893805,0.497737556561086,0.4955555555555556,0.4960037551666912,0.0029296828605507442,52
0.1118237018585205,0.01923465249924792,0.005796480178833008,0.0005268006933425653,0.01,auto,50,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': 'passthrough'}",0.4911504424778761,0.5,0.49557522123893805,0.497737556561086,0.4955555555555556,0.4960037551666912,0.0029296828605507442,52
0.22869153022766114,0.026510661051608004,0.010952615737915039,0.002091247343266893,0.01,auto,100,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': StandardScaler()}",0.5581542351453855,0.497787610619469,0.49336283185840707,0.497737556561086,0.4955555555555556,0.5085195579479806,0.024870943414533733,49
0.32390151023864744,0.08579064258314371,0.010549211502075195,0.002192824733539335,0.01,auto,100,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': RobustScaler()}",0.5581542351453855,0.497787610619469,0.49336283185840707,0.497737556561086,0.4955555555555556,0.5085195579479806,0.024870943414533733,49
0.24459304809570312,0.045287870849320885,0.023675918579101562,0.027641990906186742,0.01,auto,100,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': 'passthrough'}",0.5581542351453855,0.497787610619469,0.49336283185840707,0.497737556561086,0.4955555555555556,0.5085195579479806,0.024870943414533733,49
