Dataset,Model,CV_ROC_AUC,Test_ROC_AUC,Test_PR_AUC,Test_F1_out,Test_Recall_out,Test_Balanced_Acc,Test_MCC,Best_Scaler,Best_Contamination,Best_n_neighbors
cardio,LocalOutlierFactor,0.5834967661350976,0.5636833046471601,0.17659622325812363,0.21052631578947367,0.17142857142857143,0.561617900172117,0.15248217075108228,RobustScaler(),0.05,35
musk,LocalOutlierFactor,0.6502870442346007,0.8261562998405104,0.27824541311394296,0.3389830508474576,0.5263157894736842,0.7379053694843168,0.33388503655890156,StandardScaler(),0.05,20
vowels,LocalOutlierFactor,0.7267210841677265,0.9368794326241136,0.4489018376259756,0.34782608695652173,0.4,0.6840425531914893,0.3245630093999136,RobustScaler(),0.05,35
