mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__contamination,param_model__n_neighbors,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02599444389343262,0.003007126069985314,0.00985260009765625,0.0008386138287100781,auto,10,StandardScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 10, 'scaler': StandardScaler()}",0.5647914032869785,0.5603666245259165,0.6384323640960808,0.5416666666666666,0.5692063492063492,0.5748926815563983,0.03312592897963946,15
0.02893228530883789,0.0028889600100296363,0.011119747161865234,0.0012349485195110514,auto,10,RobustScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 10, 'scaler': RobustScaler()}",0.5647914032869785,0.5603666245259165,0.6340075853350189,0.5371417797888386,0.5647619047619047,0.5722138595397315,0.032556095558354446,21
0.025044012069702148,0.0017575506611463144,0.00971970558166504,0.0012443747221287367,auto,10,passthrough,"{'model__contamination': 'auto', 'model__n_neighbors': 10, 'scaler': 'passthrough'}",0.5647914032869785,0.5603666245259165,0.6384323640960808,0.5416666666666666,0.5692063492063492,0.5748926815563983,0.03312592897963946,15
0.030355072021484374,0.0021624541077605716,0.01058349609375,0.002332396269784835,auto,20,StandardScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 20, 'scaler': StandardScaler()}",0.5647914032869785,0.5670037926675094,0.6406447534766118,0.5788084464555053,0.49777777777777776,0.5698052347328766,0.045431787057078406,24
0.04286623001098633,0.01133983752366961,0.014359474182128906,0.003787532915864358,auto,20,RobustScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 20, 'scaler': RobustScaler()}",0.6362199747155499,0.5647914032869785,0.6406447534766118,0.5371417797888386,0.4955555555555556,0.574870693364707,0.05640197762426486,18
0.040477752685546875,0.009486502630010501,0.012113380432128906,0.003164420822225454,auto,20,passthrough,"{'model__contamination': 'auto', 'model__n_neighbors': 20, 'scaler': 'passthrough'}",0.5647914032869785,0.5670037926675094,0.6406447534766118,0.5788084464555053,0.49777777777777776,0.5698052347328766,0.045431787057078406,24
0.04111924171447754,0.005558381874766928,0.01300811767578125,0.0003969110128747667,auto,35,StandardScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 35, 'scaler': StandardScaler()}",0.6362199747155499,0.5714285714285714,0.7120733249051834,0.622737556561086,0.49777777777777776,0.6080474410776338,0.07117754689400044,10
0.03751673698425293,0.001315574730545609,0.010738468170166016,0.00114217597504948,auto,35,RobustScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 35, 'scaler': RobustScaler()}",0.6362199747155499,0.497787610619469,0.7120733249051834,0.620475113122172,0.49777777777777776,0.5928667602280304,0.08358694478418055,14
0.03770160675048828,0.002226891343200231,0.014155292510986328,0.0006081935723578274,auto,35,passthrough,"{'model__contamination': 'auto', 'model__n_neighbors': 35, 'scaler': 'passthrough'}",0.6362199747155499,0.5714285714285714,0.7120733249051834,0.622737556561086,0.49777777777777776,0.6080474410776338,0.07117754689400044,10
0.026965951919555663,0.0035387602238855067,0.011209440231323243,0.0012754987763683497,0.01,10,StandardScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 10, 'scaler': StandardScaler()}",0.5647914032869785,0.5559418457648545,0.6384323640960808,0.5416666666666666,0.566984126984127,0.5735632813597414,0.03363372722009517,20
0.02834806442260742,0.0015246308602034659,0.007877349853515625,0.0018966195539885532,0.01,10,RobustScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 10, 'scaler': RobustScaler()}",0.5647914032869785,0.5647914032869785,0.6384323640960808,0.5371417797888386,0.566984126984127,0.5744282154886007,0.0338465953343671,19
0.024118757247924803,0.0039117307707129245,0.010283470153808594,0.002664248793884528,0.01,10,passthrough,"{'model__contamination': 0.01, 'model__n_neighbors': 10, 'scaler': 'passthrough'}",0.5647914032869785,0.5603666245259165,0.6384323640960808,0.5416666666666666,0.5692063492063492,0.5748926815563983,0.03312592897963946,15
0.028683900833129883,0.0027761482242363807,0.009014272689819336,0.0013314289073551508,0.01,20,StandardScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 20, 'scaler': StandardScaler()}",0.5647914032869785,0.5692161820480405,0.6406447534766118,0.5833333333333334,0.49777777777777776,0.5711526899845485,0.0456193133082106,22
0.02693147659301758,0.003455255918704374,0.008095788955688476,0.0012729204189951264,0.01,20,RobustScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 20, 'scaler': RobustScaler()}",0.5647914032869785,0.5692161820480405,0.6406447534766118,0.5371417797888386,0.49777777777777776,0.5619143792756495,0.0468769682247966,27
0.02351722717285156,0.0032963441335199573,0.008208274841308594,0.0009773214774345534,0.01,20,passthrough,"{'model__contamination': 0.01, 'model__n_neighbors': 20, 'scaler': 'passthrough'}",0.5647914032869785,0.5692161820480405,0.6406447534766118,0.5810708898944194,0.49777777777777776,0.5707002012967657,0.04550733483860027,23
0.030051469802856445,0.001786550610797821,0.01063385009765625,0.0022031743602172285,0.01,35,StandardScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 35, 'scaler': StandardScaler()}",0.6362199747155499,0.5,0.7120733249051834,0.622737556561086,0.49777777777777776,0.5937617267919195,0.08323955268383242,12
0.029819774627685546,0.002924996776283986,0.008669328689575196,0.0005681154729536188,0.01,35,RobustScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 35, 'scaler': RobustScaler()}",0.6362199747155499,0.5,0.5692161820480405,0.620475113122172,0.49777777777777776,0.564737809532708,0.05815674097944571,26
