mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__contamination,param_model__n_neighbors,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10479416847229003,0.011172613519740242,0.008255386352539062,0.0017743397743447038,auto,10,StandardScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 10, 'scaler': StandardScaler()}",0.5587909381925634,0.4906716417910448,0.5398079306071871,0.5365726227795193,0.5117788461538462,0.5275243959048321,0.023733521119809864,15
0.0454869270324707,0.05328285640362397,0.0061626434326171875,0.000970678981175768,auto,10,RobustScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 10, 'scaler': RobustScaler()}",0.5615611918246738,0.5106716417910447,0.5796158612143743,0.5231191222570533,0.5216346153846154,0.5393204864943523,0.026511871832487675,12
0.012412071228027344,0.0011685545293562793,0.005628204345703125,0.00024125738946345862,auto,10,passthrough,"{'model__contamination': 'auto', 'model__n_neighbors': 10, 'scaler': 'passthrough'}",0.5568825412459985,0.4906716417910448,0.5398079306071871,0.5384665621734587,0.5098557692307693,0.5271368890096916,0.023673073191527307,16
0.019202375411987306,0.0013254810828901879,0.0072727203369140625,0.0009580432121024693,auto,20,StandardScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 20, 'scaler': StandardScaler()}",0.5265328736764344,0.4944029850746269,0.5587825278810409,0.526907001044932,0.5079326923076923,0.5229116159969454,0.021692898009315946,21
0.028270578384399413,0.006701588488134893,0.00804452896118164,0.0021958084260145106,auto,20,RobustScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 20, 'scaler': RobustScaler()}",0.5738734301896085,0.5325373134328358,0.6023079306071871,0.561585684430512,0.5432692307692307,0.5627147178858749,0.024422189824590997,4
0.017044830322265624,0.001418307351447454,0.01280198097229004,0.0068660588193173895,auto,20,passthrough,"{'model__contamination': 'auto', 'model__n_neighbors': 20, 'scaler': 'passthrough'}",0.5265328736764344,0.4944029850746269,0.5587825278810409,0.526907001044932,0.5098557692307693,0.5232962313815607,0.02143947972846314,20
0.05667643547058106,0.022513923039698937,0.024688863754272462,0.019754949326194596,auto,35,StandardScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 35, 'scaler': StandardScaler()}",0.5227160797833046,0.5306716417910449,0.5777571251548946,0.5729493207941485,0.5120192307692308,0.5432226796585247,0.026936983986808813,9
0.0379270076751709,0.007975363392940804,0.011381959915161133,0.002143017063998922,auto,35,RobustScaler(),"{'model__contamination': 'auto', 'model__n_neighbors': 35, 'scaler': RobustScaler()}",0.5719650332430436,0.5888059701492537,0.6402571251548946,0.561585684430512,0.553125,0.5831477625955409,0.030934891398195784,2
0.03463201522827149,0.008678890026984628,0.012903165817260743,0.0035803748558973073,auto,35,passthrough,"{'model__contamination': 'auto', 'model__n_neighbors': 35, 'scaler': 'passthrough'}",0.5208076828367396,0.5306716417910449,0.5777571251548946,0.5729493207941485,0.4983173076923077,0.540100615653827,0.0306725211425361,11
0.021179676055908203,0.0037355052135643733,0.007544898986816406,0.00195589728295927,0.01,10,StandardScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 10, 'scaler': StandardScaler()}",0.5303496675695641,0.4962686567164179,0.5416666666666666,0.5460423197492162,0.5117788461538462,0.5252212313711422,0.018704118373319274,17
0.0266573429107666,0.003678120005363768,0.009093761444091797,0.0034398356857515858,0.01,10,RobustScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 10, 'scaler': RobustScaler()}",0.5445703028810637,0.5181343283582089,0.5416666666666666,0.5288009404388714,0.5137019230769231,0.5293748322843468,0.012282588347136265,13
0.018737363815307616,0.0026324797037629325,0.008094596862792968,0.0018865044701477573,0.01,10,passthrough,"{'model__contamination': 0.01, 'model__n_neighbors': 10, 'scaler': 'passthrough'}",0.5303496675695641,0.4962686567164179,0.5416666666666666,0.5460423197492162,0.5117788461538462,0.5252212313711422,0.018704118373319274,17
0.02306652069091797,0.004885628231120861,0.007946538925170898,0.0009786873105462033,0.01,20,StandardScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 20, 'scaler': StandardScaler()}",0.5284412706229993,0.498134328358209,0.5416666666666666,0.5115595611285266,0.5117788461538462,0.5183161345860496,0.015122555708381395,26
0.024299097061157227,0.004198910938773363,0.007497215270996093,0.001041595710081419,0.01,20,RobustScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 20, 'scaler': RobustScaler()}",0.5265328736764344,0.5,0.5416666666666666,0.5096656217345873,0.53125,0.5218230324155376,0.015025761352482753,22
0.025086069107055665,0.005363802286625465,0.011118936538696288,0.0027668383609267045,0.01,20,passthrough,"{'model__contamination': 0.01, 'model__n_neighbors': 20, 'scaler': 'passthrough'}",0.5284412706229993,0.498134328358209,0.5416666666666666,0.5288009404388714,0.5117788461538462,0.5217644104481185,0.015154440224207033,23
0.02763371467590332,0.008939683063774679,0.009822702407836914,0.0028189092494778313,0.01,35,StandardScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 35, 'scaler': StandardScaler()}",0.5303496675695641,0.5,0.5416666666666666,0.5115595611285266,0.5117788461538462,0.5190709483037207,0.014906862559763152,24
0.042611122131347656,0.003619084149226784,0.015569686889648438,0.0023285810487544602,0.01,35,RobustScaler(),"{'model__contamination': 0.01, 'model__n_neighbors': 35, 'scaler': RobustScaler()}",0.5123122383649347,0.498134328358209,0.5208333333333334,0.5288009404388714,0.5117788461538462,0.5143719373298389,0.010242774973834374,27
